module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
Guardrails,grl-setup,Installa Guardrails,GS,Registra il modulo Guardrails nel progetto: severità delle figure e voci di help. Non crea la memoria condivisa.,configure,[-H],anytime,,grl-profile:profile,true,{project-root}/_bmad,"sezione grl nel config, voci in module-help.csv"
Guardrails,grl-profile,Profila il progetto,GP,"Raccoglie in pochi minuti gli otto campi che danno contesto a tutte e sette le figure, criticità inclusa.",profile,,1-analysis,grl-setup:configure,,true,{project-root}/_bmad/memory/grl-shared,project-profile.md
Guardrails,grl-profile,Aggiorna il profilo,GA,"Riallinea il profilo quando il progetto cambia, e dice se il cambiamento invalida rischi già accettati.",update-profile,,anytime,grl-profile:profile,,false,{project-root}/_bmad/memory/grl-shared,project-profile.md aggiornato
Guardrails,grl-board,Convoca il collegio,GB,"Fa leggere lo stesso artefatto alle sole figure pertinenti e restituisce un riepilogo unico, conflitti compresi.",review,[path],anytime,grl-profile:profile,,false,{project-root}/_bmad/memory/grl-shared,"riepilogo in conversazione, righe in decisions.md e accepted-risks.md"
Guardrails,grl-board,Rischi già accettati,GR,"Mostra, raggruppato per figura, quello che il progetto ha consapevolmente scelto di accettare.",accepted-risks,,anytime,grl-profile:profile,,false,{project-root}/_bmad/memory/grl-shared,elenco in conversazione
Guardrails,grl-agent-privacy,Vera — privacy e GDPR,GV,"Quali dati personali tocca il progetto, su quale base giuridica, per quanto si conservano e cosa cambiare.",consult,,anytime,grl-profile:profile,,false,,"mappa dati, base giuridica, pre-DPIA, retention, dati personali fuori posto, procedura di breach"
Guardrails,grl-agent-security,Kai — sicurezza applicativa,GK,"I modi realistici in cui il sistema verrebbe bucato, ordinati per probabilità, con la contromisura minima.",consult,,anytime,grl-profile:profile,,false,,"threat model leggero, authN/authZ, segreti, CVE, revisione OWASP mirata, superficie AI"
Guardrails,grl-agent-legal,Aldo — legale e licenze,GL,"Cosa si può usare, vendere e pubblicare: licenze open source, IP del codice, contratti, DPA, termini di servizio.",consult,,anytime,grl-profile:profile,,false,,"compatibilità licenze, titolarità del codice, accordi mancanti, vincoli su dati e output dei modelli"
Guardrails,grl-agent-compliance,Nils — compliance normativa,GN,"Quali norme si applicano davvero e quali no, con la soglia che lo determina e le scadenze che contano.",consult,,anytime,grl-profile:profile,,false,,"perimetro normativo, classificazione AI Act, livello di accessibilità, obblighi documentali"
Guardrails,grl-agent-ui-critic,Iris — critica di design,GI,"Perché una pagina sembra generata, e la deviazione concreta che le ridà un'identità visiva.",consult,,anytime,grl-profile:profile,,false,,"tic riconosciuti, direzioni visive, gerarchia e densità, coerenza del sistema"
Guardrails,grl-agent-architecture,Otto — architettura del codice,GO,"Confini fra moduli, direzione delle dipendenze e il numero minimo di strati che il problema richiede.",consult,,anytime,grl-profile:profile,,false,,"mappa dei confini, dipendenze invertite, astrazioni da togliere, collocazione di una feature"
Guardrails,grl-agent-ops,Bruno — infrastruttura e ops,GX,"L'impianto più semplice che regge il carico vero, con una via di ritorno da ogni cambiamento.",consult,,anytime,grl-profile:profile,,false,,"dimensionamento, server e SSH, Docker e Kubernetes, segreti, deploy e rollback, backup, osservabilità"
Guardrails,grl-web,Crea una landing o un sito,GW,"Dal brief di conversione — destinatario, promessa, obiezione, prova, azione — al mockup HTML a file singolo.",create,,anytime,grl-profile:profile,,false,{project-root}/_bmad-output/web,"brief.md e la pagina .html nella cartella del lavoro"
Guardrails,grl-web,Riprendi un mockup,GM,"Rientra su una pagina già fatta, applica il cambiamento e segnala se contraddice una decisione già registrata.",update,[path],anytime,grl-web:create,,false,{project-root}/_bmad-output/web,"brief.md e pagina aggiornati"
Guardrails,grl-web,Diagnostica una pagina,GD,"Perché una pagina che esiste già non converte: il brief ricostruito all'indietro e da tre a cinque mosse concrete.",diagnose,[url|path],anytime,,,false,,"verdetto in conversazione"
Guardrails,grl-web,Promuovi a progetto,GC,"Dal mockup approvato al sito vero: Tailwind da CLI standalone, SEO, form, accessibilità, pronto per il deploy.",promote,[path],anytime,grl-web:create,grl-agent-ops:consult,false,{project-root}/_bmad-output/web,"progetto statico con sorgenti e CSS generato"
Guardrails,grl-web,Configura un sito vero,GF,"Prepara la scheda di un sito con parti condivise, contenuti che cambiano e animazioni; bmad-spec la trasforma in fette per bmad-build.",configure-site,,anytime,grl-profile:profile,bmad-spec:create,false,{project-root}/_bmad-output/web,"sito.md e stack.md nella cartella del lavoro"
